ID,Data Cadastro,Data,Fluxo,Frequência,Valor,Instituição Financeira,Provedor,Descrição,Parcelamento
6,2021-06-03,2021-06-03,Transferência,Singular,-500.0,Nubank,,Saída Nubank para B3,
6,2021-06-03,2021-06-03,Transferência,Singular,500.0,B3,,Entrada B3 de Nubank,
9,2021-06-03,2021-06-03,Transferência,Singular,-590.0,Nubank,,Saída Nubank para B3,
9,2021-06-03,2021-06-03,Transferência,Singular,590.0,B3,,Entrada B3 de Nubank,
12,2021-06-03,2021-06-03,Transferência,Singular,-594.0,,,Saída  para ,
12,2021-06-03,2021-06-03,Transferência,Singular,594.0,,,Entrada  de ,
13,2021-06-03,2021-06-03,,,-0.0,,,,
14,2021-06-03,2021-06-03,,,-594.0,,,,
15,2021-06-03,2021-06-03,,,-594.77,,,,
16,2021-06-03,2021-06-03,Transferência,Singular,-594.77,,,Saída  para ,
16,2021-06-03,2021-06-03,Transferência,Singular,594.77,,,Entrada  de ,
17,2021-06-03,2021-06-03,Transferência,Singular,-0.0,,,Saída  para ,
17,2021-06-03,2021-06-03,Transferência,Singular,0.0,,,Entrada  de ,
18,2021-06-06,2021-06-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2021-08-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2021-09-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2021-10-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2021-11-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2021-12-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-01-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-02-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-03-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-04-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-05-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-06-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-07-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-08-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-09-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-10-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-11-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2022-12-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-01-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-02-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-03-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-04-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-05-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-06-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-07-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-08-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-09-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-10-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-11-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2023-12-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2024-01-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2024-02-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2024-03-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2024-04-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
18,2021-06-06,2024-05-06,Saída,Múltipla Permanente,-14.6,Nubank,Transporte,,
20,2021-06-06,2021-06-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2021-07-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2021-08-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2021-09-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2021-10-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2021-11-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2021-12-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-01-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-02-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-03-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-04-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-05-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-06-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-07-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-08-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-09-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-10-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-11-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2022-12-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-01-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-02-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-03-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-04-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-05-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-06-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-07-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-08-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-09-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-10-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-11-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2023-12-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2024-01-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2024-02-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2024-03-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2024-04-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
20,2021-06-06,2024-05-01,Saída,Múltipla Permanente,-149.9,Nubank,Gasolina,,
21,2021-06-06,2021-06-06,Entrada,Singular,1540.0,Nubank,teste com espaços ,,
22,2021-06-06,2021-06-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2021-07-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2021-08-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2021-09-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2021-10-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2021-11-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2021-12-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-01-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-02-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-03-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-04-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-05-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-06-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-07-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-08-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-09-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-10-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-11-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2022-12-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-01-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-02-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-03-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-04-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-05-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-06-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-07-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-08-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-09-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-10-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-11-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2023-12-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2024-01-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2024-02-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2024-03-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2024-04-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
22,2021-06-06,2024-05-06,Entrada,Múltipla Permanente,2884.3,C6,testesemespaços,,
23,2021-06-06,2021-06-06,Saída,Singular,-9854.99,B3,Outros,Gain,
24,2021-06-09,2021-06-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 1),1/15
24,2021-06-09,2021-09-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 4),4/15
24,2021-06-09,2021-10-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 5),5/15
24,2021-06-09,2021-11-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 6),6/15
24,2021-06-09,2022-01-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 8),8/15
24,2021-06-09,2022-02-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 9),9/15
24,2021-06-09,2022-03-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 10),10/15
24,2021-06-09,2022-04-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 11),11/15
24,2021-06-09,2022-05-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 12),12/15
24,2021-06-09,2022-06-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 13),13/15
24,2021-06-09,2022-07-09,Saída,Múltipla Temporária,-33.333333333333336,Nubank,Transporte,(PARCELA 14),14/15
25,2021-06-09,2021-06-09,Entrada,Múltipla Temporária,200.0,Nubank,Outros,(PARCELA 1),1/5
25,2021-06-09,2021-08-09,Entrada,Múltipla Temporária,200.0,Nubank,Outros,(PARCELA 3),3/5
25,2021-06-09,2021-09-09,Entrada,Múltipla Temporária,200.0,Nubank,Outros,(PARCELA 4),4/5
26,2021-06-12,2021-06-12,Entrada,Múltipla Permanente,774.0,Inter,Outros,,
26,2021-06-12,2021-07-12,Entrada,Múltipla Permanente,774.0,Inter,Outros,,
